date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:59:57	270920/270920	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Aug%202025%2019:59:55%20GMT	https://aluno.uvv.br/users/202306033/validacao-carteirinha?token=DY/5hUhm20g5bHJGZkVENytJSjJDMkw4N1o1WkVBPT0=	C:/Users/Felipe/Desktop/ALUNO%20UVV/aluno.uvv.br/users/202306033/validacao-carteirinhac9e6.html	(from )
16:59:57	178/178	---M-Z	200	added ('OK')	text/plain	etag:%22c78fe1e1355cd51:0%22	https://aluno.uvv.br/robots.txt		(from )
16:59:58	121205/121205	---M-Z	200	added ('OK')	text/css	etag:%2229d86168572dc1:0%22	https://aluno.uvv.br/Content/app/css/bootstrap.min.css	C:/Users/Felipe/Desktop/ALUNO%20UVV/aluno.uvv.br/Content/app/css/bootstrap.min.css	(from https://aluno.uvv.br/users/202306033/validacao-carteirinha?token=DY/5hUhm20g5bHJGZkVENytJSjJDMkw4N1o1WkVBPT0=)
16:59:58	31002/31002	---M-Z	200	added ('OK')	text/css	etag:%22efc36d68572dc1:0%22	https://aluno.uvv.br/Content/app/css/font-awesome.min.css	C:/Users/Felipe/Desktop/ALUNO%20UVV/aluno.uvv.br/Content/app/css/font-awesome.min.css	(from https://aluno.uvv.br/users/202306033/validacao-carteirinha?token=DY/5hUhm20g5bHJGZkVENytJSjJDMkw4N1o1WkVBPT0=)
16:59:59	11994/11994	---M-Z	200	added ('OK')	text/css	etag:%2240ff6868572dc1:0%22	https://aluno.uvv.br/Content/app/css/estilos.css	C:/Users/Felipe/Desktop/ALUNO%20UVV/aluno.uvv.br/Content/app/css/estilos.css	(from https://aluno.uvv.br/users/202306033/validacao-carteirinha?token=DY/5hUhm20g5bHJGZkVENytJSjJDMkw4N1o1WkVBPT0=)
17:00:00	3633/3633	---M-Z	200	added ('OK')	text/css	etag:%227f3a6468572dc1:0%22	https://aluno.uvv.br/Content/app/css/estilos-ingrid.css	C:/Users/Felipe/Desktop/ALUNO%20UVV/aluno.uvv.br/Content/app/css/estilos-ingrid.css	(from https://aluno.uvv.br/users/202306033/validacao-carteirinha?token=DY/5hUhm20g5bHJGZkVENytJSjJDMkw4N1o1WkVBPT0=)
17:00:00	45809/45809	---M-Z	200	added ('OK')	text/css	etag:%22efc36d68572dc1:0%22	https://aluno.uvv.br/Content/app/css/flickity-docs.css	C:/Users/Felipe/Desktop/ALUNO%20UVV/aluno.uvv.br/Content/app/css/flickity-docs.css	(from https://aluno.uvv.br/users/202306033/validacao-carteirinha?token=DY/5hUhm20g5bHJGZkVENytJSjJDMkw4N1o1WkVBPT0=)
17:00:02	207467/207467	---M-Z	200	added ('OK')	text/css	etag:%228f70db68572dc1:0%22	https://aluno.uvv.br/Content/app/css/jquery.mobile-1.4.5.min.css	C:/Users/Felipe/Desktop/ALUNO%20UVV/aluno.uvv.br/Content/app/css/jquery.mobile-1.4.5.min.css	(from https://aluno.uvv.br/users/202306033/validacao-carteirinha?token=DY/5hUhm20g5bHJGZkVENytJSjJDMkw4N1o1WkVBPT0=)
17:00:03	216850/216850	---M-Z	200	added ('OK')	text/css	etag:%225d81f16a572dc1:0%22	https://aluno.uvv.br/Content/css/kendo/kendo.common-bootstrap.min.css	C:/Users/Felipe/Desktop/ALUNO%20UVV/aluno.uvv.br/Content/css/kendo/kendo.common-bootstrap.min.css	(from https://aluno.uvv.br/users/202306033/validacao-carteirinha?token=DY/5hUhm20g5bHJGZkVENytJSjJDMkw4N1o1WkVBPT0=)
17:00:03	5856/5856	---M-Z	200	added ('OK')	text/css	etag:%22d4755f68572dc1:0%22	https://aluno.uvv.br/Content/app/css/bootstrap-datetimepicker.css	C:/Users/Felipe/Desktop/ALUNO%20UVV/aluno.uvv.br/Content/app/css/bootstrap-datetimepicker.css	(from https://aluno.uvv.br/users/202306033/validacao-carteirinha?token=DY/5hUhm20g5bHJGZkVENytJSjJDMkw4N1o1WkVBPT0=)
17:00:04	17666/17666	---M-Z	200	added ('OK')	text/css	etag:%22df4e5868572dc1:0%22	https://aluno.uvv.br/Content/app/css/bootstrap-datepicker.css	C:/Users/Felipe/Desktop/ALUNO%20UVV/aluno.uvv.br/Content/app/css/bootstrap-datepicker.css	(from https://aluno.uvv.br/users/202306033/validacao-carteirinha?token=DY/5hUhm20g5bHJGZkVENytJSjJDMkw4N1o1WkVBPT0=)
17:00:05	21740/21740	---M-Z	200	added ('OK')	text/css	etag:%2280135d68572dc1:0%22	https://aluno.uvv.br/Content/app/css/bootstrap-datepicker3.standalone.min.css	C:/Users/Felipe/Desktop/ALUNO%20UVV/aluno.uvv.br/Content/app/css/bootstrap-datepicker3.standalone.min.css	(from https://aluno.uvv.br/users/202306033/validacao-carteirinha?token=DY/5hUhm20g5bHJGZkVENytJSjJDMkw4N1o1WkVBPT0=)
17:00:05	21106/21106	---M-Z	200	added ('OK')	text/css	etag:%2216b15a68572dc1:0%22	https://aluno.uvv.br/Content/app/css/bootstrap-datepicker3.min.css	C:/Users/Felipe/Desktop/ALUNO%20UVV/aluno.uvv.br/Content/app/css/bootstrap-datepicker3.min.css	(from https://aluno.uvv.br/users/202306033/validacao-carteirinha?token=DY/5hUhm20g5bHJGZkVENytJSjJDMkw4N1o1WkVBPT0=)
17:00:06	7717/7717	---M-Z	200	added ('OK')	text/css	etag:%229ec7ef74572dc1:0%22	https://aluno.uvv.br/Scripts/plugins/ladda/ladda-themeless.min.css	C:/Users/Felipe/Desktop/ALUNO%20UVV/aluno.uvv.br/Scripts/plugins/ladda/ladda-themeless.min.css	(from https://aluno.uvv.br/users/202306033/validacao-carteirinha?token=DY/5hUhm20g5bHJGZkVENytJSjJDMkw4N1o1WkVBPT0=)
17:00:07	200152/200152	---MCZ	200	added ('OK')	application/javascript	etag:%22e9aaba6a572dc1:0%22	https://aluno.uvv.br/Content/app/js/jquery.mobile-1.4.5.min.js	C:/Users/Felipe/Desktop/ALUNO%20UVV/aluno.uvv.br/Content/app/js/jquery.mobile-1.4.5.min.js	(from https://aluno.uvv.br/users/202306033/validacao-carteirinha?token=DY/5hUhm20g5bHJGZkVENytJSjJDMkw4N1o1WkVBPT0=)
17:00:08	86713/86713	---M-Z	200	added ('OK')	application/javascript	etag:%22dd97a76a572dc1:0%22	https://aluno.uvv.br/Content/app/js/jquery-3.1.1.min.js	C:/Users/Felipe/Desktop/ALUNO%20UVV/aluno.uvv.br/Content/app/js/jquery-3.1.1.min.js	(from https://aluno.uvv.br/users/202306033/validacao-carteirinha?token=DY/5hUhm20g5bHJGZkVENytJSjJDMkw4N1o1WkVBPT0=)
17:00:09	240439/240439	---MCZ	200	added ('OK')	application/javascript	etag:%226e6be46e572dc1:0%22	https://aluno.uvv.br/Scripts/jquery-ui-1.11.4.min.js	C:/Users/Felipe/Desktop/ALUNO%20UVV/aluno.uvv.br/Scripts/jquery-ui-1.11.4.min.js	(from https://aluno.uvv.br/users/202306033/validacao-carteirinha?token=DY/5hUhm20g5bHJGZkVENytJSjJDMkw4N1o1WkVBPT0=)
17:00:10	37051/37051	---M-Z	200	added ('OK')	application/javascript	etag:%2289e7966a572dc1:0%22	https://aluno.uvv.br/Content/app/js/bootstrap.min.js	C:/Users/Felipe/Desktop/ALUNO%20UVV/aluno.uvv.br/Content/app/js/bootstrap.min.js	(from https://aluno.uvv.br/users/202306033/validacao-carteirinha?token=DY/5hUhm20g5bHJGZkVENytJSjJDMkw4N1o1WkVBPT0=)
17:00:11	71505/71505	---M-Z	200	added ('OK')	application/javascript	etag:%22abe9e6a572dc1:0%22	https://aluno.uvv.br/Content/app/js/flickity-docs.min.js	C:/Users/Felipe/Desktop/ALUNO%20UVV/aluno.uvv.br/Content/app/js/flickity-docs.min.js	(from https://aluno.uvv.br/users/202306033/validacao-carteirinha?token=DY/5hUhm20g5bHJGZkVENytJSjJDMkw4N1o1WkVBPT0=)
17:00:11	33606/33606	---M-Z	200	added ('OK')	application/javascript	etag:%223f49616e572dc1:0%22	https://aluno.uvv.br/Scripts/bootstrap-datepicker.min.js	C:/Users/Felipe/Desktop/ALUNO%20UVV/aluno.uvv.br/Scripts/bootstrap-datepicker.min.js	(from https://aluno.uvv.br/users/202306033/validacao-carteirinha?token=DY/5hUhm20g5bHJGZkVENytJSjJDMkw4N1o1WkVBPT0=)
17:00:12	504/504	---M-Z	200	added ('OK')	application/javascript	etag:%223f49616e572dc1:0%22	https://aluno.uvv.br/Scripts/bootstrap-datepicker.pt-BR.min.js	C:/Users/Felipe/Desktop/ALUNO%20UVV/aluno.uvv.br/Scripts/bootstrap-datepicker.pt-BR.min.js	(from https://aluno.uvv.br/users/202306033/validacao-carteirinha?token=DY/5hUhm20g5bHJGZkVENytJSjJDMkw4N1o1WkVBPT0=)
